,class_0,class_1,class_2,class_3
precision,0.6934446891669955,0.8724531926726099,0.9817111787330666,0.9999624051670338
recall,0.9999816409333749,0.8160931317685263,0.9943752982500058,0.8835034013605442
f1,0.8189691465688338,0.8433325731413306,0.9880026583031165,0.9381324398201217
support,54469.0,126874.0,127829.0,150528.0
