,class_0,class_1,class_2,class_3
precision,0.744594836982767,0.9543465511796815,0.9976854154046454,0.9999303713296988
recall,0.9999629410020753,0.9965063788027478,0.8593802325490837,0.9576806375245908
f1,0.8535885167464115,0.9749709075686409,0.9233826765855251,0.9783495813661973
support,53968.0,127375.0,128403.0,149955.0
