,class_0,class_1,class_2,class_3
precision,0.8271391004301761,0.7258885695521453,0.8897630993600587,0.9999326039583942
recall,1.0,0.9491601537879742,0.9623110100742724,0.593815038155718
f1,0.9053925891416116,0.8226441377002838,0.9246161614272623,0.745130535954934
support,54415.0,126928.0,128446.0,149912.0
