fold,param_count,train_time_s,train_time_per_epoch_s_mean,inference_latency_ms_per_sample,Valence_MSE,Valence_MAE,Valence_RMSE,Valence_R2,Valence_Pearson,Valence_CCC,Arousal_MSE,Arousal_MAE,Arousal_RMSE,Arousal_R2,Arousal_Pearson,Arousal_CCC,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_weighted,Recall_weighted,F1_weighted,AUC_class_0,AUC_class_1,AUC_class_2,AUC_class_3
1,242338,12763.627753257751,232.06394864429126,0.008843094110488892,0.10566217452287674,0.1868591457605362,0.32505718654242477,0.9814397096633911,0.9946869611740112,0.9898148775100708,0.1841537058353424,0.304126501083374,0.4291313386777321,0.9688535928726196,0.9961503148078918,0.9818719625473022,0.9721449376877579,0.9525389938625838,0.9749213911931037,0.9608984838306142,0.977270956152367,0.9721449376877579,0.9731118110064959,0.7654586732494378,0.8069884181129567,0.8225480711591523,0.945330047591962
2,242338,3469.362492084503,192.7416794564989,0.008166581392288208,0.3017731308937073,0.37384265661239624,0.5493388124770607,0.9471613168716431,0.99397873878479,0.9680238366127014,0.36003419756889343,0.4124910235404968,0.6000284972973312,0.9390528798103333,0.9922142624855042,0.9621272683143616,0.675271535193528,0.7368894747706705,0.7257594962671798,0.6723116928628995,0.8139494691272027,0.675271535193528,0.7030869231536536,0.773856923374531,0.8219634551222961,0.8545857213773624,0.9901281701261434
3,242338,9881.67133975029,210.24614238739014,0.008184090256690979,0.18655645847320557,0.27391234040260315,0.43192181986235145,0.9672386646270752,0.9934287071228027,0.9811382293701172,0.17991167306900024,0.29602792859077454,0.424159961652441,0.9695240259170532,0.9946731328964233,0.9823775291442871,0.9153319222712154,0.8916535895498712,0.9256285183418445,0.8971747166705866,0.9384153228832086,0.9153319222712154,0.9206479295734575,0.7581385860978317,0.8022005444516134,0.8167772252188809,0.9676814776088226
4,242338,8108.987743377686,193.068401211784,0.007939711213111877,0.1678624451160431,0.2510429918766022,0.40971019649996887,0.9704970717430115,0.9924352169036865,0.9833317399024963,0.2144685834646225,0.32704129815101624,0.46310752905197133,0.9636008143424988,0.9950694441795349,0.9785175919532776,0.9147792038285839,0.8947625654476467,0.9232557532571166,0.8916708663842735,0.9490613853865447,0.9147792038285839,0.9212376303852636,0.7755914944208464,0.8008360678899721,0.8268606294038641,0.9605953072294489
5,242338,8748.050154209137,190.17316822902015,0.007973983883857727,0.22721301019191742,0.3169996440410614,0.476668658705308,0.960082471370697,0.9945805072784424,0.9763256311416626,0.18925800919532776,0.28993916511535645,0.43503793994929657,0.9679473638534546,0.9954644441604614,0.9813532829284668,0.8300848379377855,0.8328756648731614,0.8552526862457775,0.8145409747067354,0.8887286237088604,0.8300848379377855,0.8376035613184347,0.7657256967940654,0.8489441939720165,0.8027726963199927,0.9792972502611121
