,fold,param_count,train_time_s,train_time_per_epoch_s_mean,inference_latency_ms_per_sample,Valence_MSE,Valence_MAE,Valence_RMSE,Valence_R2,Valence_Pearson,Valence_CCC,Arousal_MSE,Arousal_MAE,Arousal_RMSE,Arousal_R2,Arousal_Pearson,Arousal_CCC,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_weighted,Recall_weighted,F1_weighted,AUC_class_0,AUC_class_1,AUC_class_2,AUC_class_3
mean,3,879650,14542.48978,452.7982576,0.013755634,0.009719283,0.036889295,0.098292349,0.998293436,0.999174166,0.999146819,0.010298788,0.039119713,0.101294124,0.998255444,0.99917028,0.999129021,0.832340463,0.8422889,0.860970073,0.825994259,0.883827016,0.832340463,0.83716415,0.729666665,0.760055006,0.752431251,0.900307466
std,1.58113883,0,4793.7426,40.79280012,4.40E-05,0.001730267,0.003921569,0.008507166,0.000305594,0.000149116,0.000151417,0.0014075,0.009432979,0.006918133,0.000240088,9.30E-05,0.000116784,0.112396638,0.077571114,0.094105698,0.108871173,0.060366776,0.112396638,0.103562486,0.009143874,0.009377385,0.012386466,0.013857023
