,class_0,class_1,class_2,class_3
precision,0.5298831190353177,0.8679464089611245,0.8168863142650253,0.9999619746561083
recall,1.0,0.7779912746286992,0.8803464825002927,0.7002656228156019
f1,0.692710590034408,0.8205106909568084,0.8474299986854213,0.8237003046130474
support,54357.0,126986.0,128145.0,150213.0
