,class_0,class_1,class_2,class_3
precision,0.5280845493770301,0.7432110841390169,0.9734845336341507,0.9999617908622848
recall,0.9999082046668747,0.9821476425429954,0.6413411667149082,0.6954387223639455
f1,0.6911499708129235,0.8461347810292086,0.7732546075342853,0.8203514683698059
support,54469.0,126874.0,127829.0,150528.0
