,class_0,class_1,class_2,class_3
precision,0.5591437955221252,0.9836932653567815,0.790908188585608,1.0
recall,1.0,0.8089028459273798,0.9308661012593163,0.7156480277416558
f1,0.7172446789423671,0.8877764230969727,0.8551987636301194,0.8342597271349166
support,53968.0,127375.0,128403.0,149955.0
