fold,param_count,train_time_s,train_time_per_epoch_s_mean,inference_latency_ms_per_sample,Valence_MSE,Valence_MAE,Valence_RMSE,Valence_R2,Valence_Pearson,Valence_CCC,Arousal_MSE,Arousal_MAE,Arousal_RMSE,Arousal_R2,Arousal_Pearson,Arousal_CCC,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_weighted,Recall_weighted,F1_weighted,AUC_class_0,AUC_class_1,AUC_class_2,AUC_class_3
1,318114,3292.4987840652466,274.373759051164,0.014513358473777771,0.0720905065536499,0.15259872376918793,0.2684967533391231,0.9873368144035339,0.9939451813697815,0.9937544465065002,0.08290525525808334,0.1661462038755417,0.28793272696601085,0.9859780073165894,0.9934210181236267,0.9931452870368958,0.8073769689428564,0.803669454229394,0.8396508449861484,0.7960878960724213,0.8568767181934558,0.8073769689428564,0.8139452626440329,0.728462090574638,0.7792623584905545,0.7532907200394188,0.9077947869639547
2,318114,3621.92067360878,278.60792330595166,0.01580454409122467,0.03860398009419441,0.11074960976839066,0.19647895585582292,0.9932406544685364,0.9966939687728882,0.9965955018997192,0.04406563192605972,0.12477841973304749,0.20991815530358426,0.9925404787063599,0.9966735243797302,0.9961877465248108,0.7698417014537711,0.7844852869915172,0.8086310310985221,0.7598040932293434,0.8396914341572276,0.7698417014537711,0.77507991509359,0.7285861101176003,0.7779323016874765,0.728074401024906,0.9141203687407072
3,318114,3753.72966837883,268.12260850838254,0.00888332724571228,0.10228120535612106,0.2029314786195755,0.31981432950404376,0.9820383191108704,0.9950366616249084,0.9901500344276428,0.039604224264621735,0.1007174551486969,0.19900810100250124,0.9932912588119507,0.9966998100280762,0.9965986013412476,0.8349840439764108,0.8334363123661287,0.8638542437320881,0.8236198982010939,0.8853228210739501,0.8349840439764108,0.8411995774515462,0.7324992316167296,0.7817390820771853,0.7481948266336441,0.9379943707897624
4,318114,5291.841213941574,211.67270924568177,0.008560717105865479,0.058088961988687515,0.14102177321910858,0.24101651808265656,0.9897904992103577,0.9969649314880371,0.9946010112762451,0.027910372242331505,0.08109582215547562,0.16706397649502872,0.9952630996704102,0.9977740049362183,0.997585654258728,0.7956014792255819,0.8111854895031206,0.829708934072181,0.7827227069365559,0.865825980669804,0.7956014792255819,0.7990623907456587,0.7273437585751041,0.7776744590317773,0.7674357864813273,0.9367084925737379
5,318114,3229.81370306015,269.15029696623486,0.009054318070411682,0.09070868045091629,0.19702160358428955,0.3011788180648106,0.984063982963562,0.9939088821411133,0.9915051460266113,0.055692143738269806,0.13718244433403015,0.2359918298125378,0.9905680418014526,0.9953566789627075,0.9952124357223511,0.7294257124211442,0.7552495514620099,0.7730491861744352,0.7197724592253978,0.8217225847579998,0.7294257124211442,0.7427245537961267,0.7123350106842264,0.7632225473335895,0.7385200811948979,0.9231438736344748
