,class_0,class_1,class_2,class_3
precision,0.6509707681520346,0.80648601095664,0.9158216465860063,0.99952072407532
recall,0.9885806605592171,0.9537809164998344,0.8485476691517574,0.72043075042517
f1,0.7850160729515188,0.8739708218980211,0.8809021066480419,0.8373323038316764
support,54469.0,126874.0,127829.0,150528.0
