,class_0,class_1,class_2,class_3
precision,0.4973309852086394,0.8288275637804121,0.8964279420085521,0.9998317631224765
recall,0.999578182885229,0.884321502637659,0.7518983599414931,0.7139929918237944
f1,0.6641968839303668,0.8556757272293753,0.8178267841804849,0.8330756920297332
support,54526.0,126817.0,128532.0,149825.0
