,class_0,class_1,class_2,class_3
precision,0.5306836620984927,0.8196469411092052,0.8797750562793891,0.9997656890693951
recall,0.9987674080615192,0.9031310538169562,0.7898786530882984,0.6817252834308615
f1,0.6930977473365718,0.8593662188186103,0.8324067830062994,0.81066810216869
support,54357.0,126986.0,128145.0,150213.0
