fold,param_count,train_time_s,train_time_per_epoch_s_mean,inference_latency_ms_per_sample,Valence_MSE,Valence_MAE,Valence_RMSE,Valence_R2,Valence_Pearson,Valence_CCC,Arousal_MSE,Arousal_MAE,Arousal_RMSE,Arousal_R2,Arousal_Pearson,Arousal_CCC,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_weighted,Recall_weighted,F1_weighted,AUC_class_0,AUC_class_1,AUC_class_2,AUC_class_3
1,166946,1726.0402014255524,123.28655123710632,0.0070989131927490234,0.12101085484027863,0.28688114881515503,0.34786614500448104,0.9787435531616211,0.9894640445709229,0.9890794157981873,0.11580532789230347,0.27742674946784973,0.34030181882015187,0.9804134964942932,0.9902758598327637,0.9899628162384033,0.8105224917935788,0.8074678371391206,0.8433755995994089,0.7988847128325429,0.8610958782414757,0.8105224917935788,0.8162780758673176,0.7254434763462926,0.7630573666674005,0.7349734425770217,0.8953956537195478
2,166946,1684.038030385971,120.28731097493853,0.006264820694923401,0.1230195164680481,0.28514009714126587,0.35074138117428927,0.9784600138664246,0.9894835352897644,0.989138662815094,0.11642022430896759,0.2797091007232666,0.34120408014701054,0.9802922010421753,0.9904541373252869,0.9900190234184265,0.8347012514656266,0.8269501578888809,0.8631965685574534,0.8244812404003293,0.8731388177132781,0.8347012514656266,0.838106916056092,0.7348891003069706,0.7631581773781466,0.7435464819050115,0.8812352685289881
3,166946,1466.5975790023804,122.21562667687733,0.006724148988723755,0.15019822120666504,0.2990669012069702,0.3875541526118189,0.9736235737800598,0.988070011138916,0.9870707988739014,0.12507475912570953,0.2832438349723816,0.3536591001596163,0.978813111782074,0.9895038604736328,0.9894188642501831,0.8170941546788021,0.812317168587332,0.8484302928953004,0.8050897778508936,0.8661908680707423,0.8170941546788021,0.8236445832548315,0.73373130542243,0.7739130047509954,0.730673967794725,0.8731550985638166
4,166946,1706.5769469738007,121.8974666936057,0.006368756294250488,0.13505682349205017,0.29408103227615356,0.36750078026046445,0.9762628674507141,0.9883535504341125,0.9878371357917786,0.1349395364522934,0.29867106676101685,0.3673411717358856,0.9770983457565308,0.9892914891242981,0.9884197115898132,0.8522318903632804,0.8431997874425002,0.8778349991589948,0.8443053263323146,0.8816712067427415,0.8522318903632804,0.8533609026690733,0.7513637340793691,0.7569268906633368,0.7454986969963037,0.8812664736499423
5,166946,1614.9927067756653,124.22884266193097,0.008343532681465149,0.12632566690444946,0.2896570563316345,0.3554232222357586,0.9778066873550415,0.9891718029975891,0.9886096119880676,0.11726002395153046,0.2794283330440521,0.34243251006808695,0.9801409244537354,0.9901870489120483,0.9898237586021423,0.8054535566673918,0.80560456353002,0.8374477593220438,0.79269377184249,0.8641426247715793,0.8054535566673918,0.81501567495296,0.7323658902577861,0.7733121420717999,0.7376493147154535,0.8806848624295913
