fold,param_count,train_time_s,train_time_per_epoch_s_mean,inference_latency_ms_per_sample,Valence_MSE,Valence_MAE,Valence_RMSE,Valence_R2,Valence_Pearson,Valence_CCC,Arousal_MSE,Arousal_MAE,Arousal_RMSE,Arousal_R2,Arousal_Pearson,Arousal_CCC,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_weighted,Recall_weighted,F1_weighted,AUC_class_0,AUC_class_1,AUC_class_2,AUC_class_3
1,879650,18059.289921998978,488.08625643962137,0.01374073326587677,0.009828456677496433,0.03643430024385452,0.09913857310601375,0.9982735514640808,0.9991503953933716,0.9991352558135986,0.00924629345536232,0.03542190045118332,0.09615764896960782,0.9984361529350281,0.99924635887146,0.999215841293335,0.6565658982686572,0.7221602936676923,0.7116369043500664,0.6539524020711253,0.7982147789614462,0.6565658982686572,0.6807585090322514,0.7152881534743221,0.7698642275421821,0.7342977500031103,0.9168463871976285
2,879650,21138.756557941437,503.3015693709964,0.01369379460811615,0.00803256593644619,0.033948276191949844,0.08962458332648576,0.9985935688018799,0.9993034601211548,0.9992973208427429,0.008762616664171219,0.028019694611430168,0.09360884928344766,0.9985166788101196,0.9992626905441284,0.9992557168006897,0.8429718447425609,0.8606808433251936,0.8763215505044912,0.8494458560560229,0.8730300044834266,0.8429718447425609,0.8356535426830148,0.7304768995005648,0.7501575627207743,0.7464377953294157,0.9025199764671459
3,879650,10261.817137002945,427.5706767042478,0.01381412148475647,0.008847828954458237,0.03265775740146637,0.09406289892650681,0.9984462261199951,0.9992469549179077,0.9992251396179199,0.01188646536320448,0.05378200486302376,0.10902506759091911,0.9979864954948425,0.9991227984428406,0.9990010261535645,0.9459452992271064,0.9241392937241981,0.9533825474696244,0.9325729205666937,0.9566969515962452,0.9459452992271064,0.9474134311622234,0.7395376699700797,0.7628950009519544,0.7556982328269447,0.8851260372741832
4,879650,12221.558982133865,436.4800826736859,0.01377202570438385,0.0125808734446764,0.042385708540678024,0.11216449279819528,0.9977888464927673,0.9989261627197266,0.9988982081413269,0.01164632011204958,0.0406101830303669,0.10791811762651153,0.9980233907699585,0.9990366101264954,0.9990123510360718,0.9095301283445726,0.8868928664349264,0.9234883680781127,0.8971092044583506,0.9233769074018583,0.9095301283445726,0.9117163346501269,0.734889614128569,0.7672146186351231,0.7596432945035524,0.887279933608852
5,879650,11031.026300430298,408.55270264766835,0.013757497072219849,0.009306691586971283,0.03902043029665947,0.09647119563357387,0.9983649849891663,0.9992438554763794,0.9991781711578369,0.009952244348824024,0.0377647839486599,0.09976093598610643,0.9983144998550415,0.999182939529419,0.9991601705551147,0.806689145094627,0.8175712015692302,0.8400209944521447,0.7968909112559175,0.8678164361026638,0.806689145094627,0.8102789303286208,0.7281409882338948,0.7501436209679853,0.766079184193893,0.9097649967990759
