,fold,param_count,train_time_s,train_time_per_epoch_s_mean,inference_latency_ms_per_sample,Valence_MSE,Valence_MAE,Valence_RMSE,Valence_R2,Valence_Pearson,Valence_CCC,Arousal_MSE,Arousal_MAE,Arousal_RMSE,Arousal_R2,Arousal_Pearson,Arousal_CCC,Accuracy,Precision_macro,Recall_macro,F1_macro,Precision_weighted,Recall_weighted,F1_weighted,AUC_class_0,AUC_class_1,AUC_class_2,AUC_class_3
mean,3.0,242338.0,8594.339896535874,203.65866798579688,0.00822149217128748,0.19781344383955,0.28053135573863985,0.4385393348174227,0.9652838468551636,0.9938220262527466,0.9797268629074096,0.22556523382663726,0.3259251832962036,0.47029305332575444,0.9617957353591919,0.9947143197059631,0.9772495269775391,0.8615224873837741,0.8617440577007865,0.8809635690610044,0.8473193468910217,0.9134851514516367,0.8615224873837741,0.8711375710874611,0.7677542747873425,0.8161865359097711,0.8247088686958504,0.9686064505634977
std,1.5811388300841898,0.0,3375.0840889125784,17.772506019573417,0.00036450786288551665,0.07277978688285167,0.07022249072042691,0.08289070859754427,0.012722925462181824,0.0009254599951758447,0.00814377575274862,0.0763583896504281,0.050395714845657094,0.07407494363967096,0.012921669294350364,0.0015002386877242516,0.008584795070097798,0.11580889714860886,0.0816250166385726,0.09664498510667045,0.11074174481269321,0.06417953036519526,0.11580889714860886,0.10574212409002594,0.007080090314249492,0.0201388129851888,0.01901336420153612,0.01720684848313709
