,class_0,class_1,class_2,class_3
precision,0.5301507049100632,0.9993769470404984,0.802016663447642,0.9999583440944423
recall,1.0,0.6829999132608404,0.9369028724364361,0.8011079592858334
f1,0.6929392029280195,0.811440509258175,0.8642282753399048,0.8895559113008419
support,54526.0,126817.0,128532.0,149825.0
