,class_0,class_1,class_2,class_3
precision,0.33262019010360955,0.8369115314688019,0.7780261775102704,1.0
recall,1.0,0.6818038573049288,0.6340096227208321,0.5872245050429585
f1,0.49919728452823264,0.7514370560755779,0.6986736217162272,0.7399388091315604
support,54415.0,126928.0,128446.0,149912.0
